Country,Sex,Age,Exposure,Deaths,Baseline,Excess,Excess_lp,Excess_up,Baseline_pos,Excess_pos,Excess_pos_lp,Excess_pos_up,Excess_epi,Excess_epi_up,Excess_epi_lp
Austria,b,0,4023116.857129538,60,53.38626510342023,6.613734896579775,-41,44.024999999999956,64.74123989318633,11.354974789766114,0,44.024999999999956,0,0,0
Austria,b,5,3823020.942176464,13,15.563154192820173,-2.563154192820173,-32,13,17.376842969820544,1.8136887770003713,0,13,0,0,0
Austria,b,10,3813080.233276694,13,14.569478279775103,-1.5694782797751028,-30,13,16.094154154215445,1.5246758744403408,0,13,0,0,0
Austria,b,15,4075460.905772988,27,29.662873215405895,-2.662873215405896,-38.024999999999864,27,32.066327387349986,2.4034541719440905,0,27,0,0,0
Austria,b,20,4596803.949425727,38,43.42066143460256,-5.420661434602559,-49,29,46.11251198164375,2.691850547041188,0,29,0,0,0
Austria,b,25,5462056.0279220175,44,50.158553594653554,-6.158553594653556,-55,32.024999999999956,57.44006104593512,7.281507451281563,0,33.024999999999956,0,0,0
Austria,b,30,5571749.356679255,65,62.0466029931259,2.9533970068740976,-48,47,69.62299026906561,7.57638727593971,0,47,0,0,0
Austria,b,35,5581012.461001063,76,74.6329289525145,1.3670710474854886,-57,49,85.43843631553577,10.805507363021258,0,49,0,0,0
Austria,b,40,5083728.139693961,135,96.66198869263917,38.33801130736082,-25.024999999999864,92,135,38.33801130736082,2,92,9.25053452006847,15,2
Austria,b,45,5552968.39423099,202,176.49531460122097,25.504685398779028,-62.024999999999864,102,208.74331941856164,32.24800481734066,0.9750000000001364,102,10.359902094322916,19,0.9750000000001364
Austria,b,50,6442730.499664738,338,324.7406279399966,13.259372060003393,-97,118,349.3180842830654,24.577456343068803,0,118,0,0,0
Austria,b,55,6216364.950912694,597,501.78957523823317,95.21042476176683,-42,227,597,95.21042476176683,18,227,105.91119491264848,179,28
Austria,b,60,5194218.765751082,756,695.4662689254042,60.53373107459582,-101.02499999999986,214.0499999999999,759.4588788559474,63.99260993054325,0,214.0499999999999,0,0,0
Austria,b,65,4036151.4871249725,914,884.1571828760278,29.84281712397214,-154.0749999999996,205.02499999999995,925.4023503543873,41.24516747835946,0,205.02499999999995,22.033601404437505,41,4
Austria,b,70,3675857.1743846834,1366,1258.8589059534283,107.14109404657165,-110,321,1397.5052824497545,138.6463764963261,2,323,79.28759296452509,156,6
Austria,b,75,3438341.7329991143,2066,1870.069762667972,195.930237332028,-76.04999999999967,458.025,2080.9630934083293,210.89333074035727,34,458.025,165.9264365876121,282.025,37
Austria,b,80,2314975.3280757456,2404,2107.9291674243977,296.07083257560225,8.975000000000136,578.0749999999999,2407.1864584235445,299.2572909991468,109.97500000000014,578.0749999999999,513.0141498412557,877.0749999999999,138.97500000000014
Austria,b,85,1273745.496992001,2715,2688.648059604454,26.35194039554625,-301.0749999999996,341.0249999999999,2788.839500620879,100.19144101642519,8.975000000000136,341.0249999999999,82.63830411418417,148,13.975000000000136
Austria,b,90,781819.7438366344,3573,3090.734038775437,482.26596122456306,134.90000000000055,826.05,3573,482.26596122456306,171.95000000000027,826.05,614.846547757393,985.05,232.90000000000055
Austria,b,All,80957202.44705036,15402,14038.991410465529,1363.0085895344714,-1174.4249999999977,3736.2999999999997,15611.30953183122,1572.3181213656928,347.8750000000007,3739.2999999999997,1603.2682641964475,2702.1499999999996,463.82500000000095
Austria,f,0,1954812.2023120339,33,27.22242724347389,5.777572756526107,-30,33,36.13454769805134,8.912120454577448,0,33,0,0,0
Austria,f,5,1848898.799129313,10,12.00469292529896,-2.0046929252989605,-26,10,12.670838940815525,0.6661460155165648,0,10,0,0,0
Austria,f,10,1845171.5263284375,11,11.233268307108169,-0.23326830710816826,-25,11,12.736469810837994,1.503201503729826,0,11,0,0,0
Austria,f,15,1972245.4765870278,14,15.884971180804323,-1.8849711808043221,-30,14,17.81734799828672,1.9323768174823996,0,14,0,0,0
Austria,f,20,2219062.036096279,17,17.083384364302667,-0.08338436430266505,-28,17,19.6839330740749,2.6005487097722373,0,17,0,0,0
Austria,f,25,2653939.688044402,20,23.27996939680803,-3.2799693968080303,-35,20,26.519994446764535,3.2400250499565066,0,20,0,0,0
Austria,f,30,2737135.4802227803,23,22.9364138782272,0.06358612177280198,-32,23,25.190853343121606,2.254439464894407,0,23,0,0,0
Austria,f,35,2763747.901083299,34,35.15253014105991,-1.1525301410599162,-40,26.024999999999956,40.71734436872596,5.564814227666048,0,26.024999999999956,0,0,0
Austria,f,40,2528615.593135995,52,43.8155919824642,8.184408017535802,-36.024999999999864,43,56.597448827291174,12.781856844826976,0,43,0,0,0
Austria,f,45,2785171.8104356746,81,75.9430108871755,5.056989112824498,-50,54,86.32394678141273,10.380935894237222,0,54,0,0,0
Austria,f,50,3215417.9352859687,120,120.84831040490022,-0.8483104049002126,-72,59,129.16923945654918,8.32092905164896,0,59,0,0,0
Austria,f,55,3108273.1439136267,232,178.56338440198687,53.43661559801315,-33,129.07499999999987,232,53.43661559801315,1,129.07499999999987,26.3589340846181,44.024999999999956,6
Austria,f,60,2656857.6192909395,263,256.8469413299494,6.153058670050594,-100.02499999999986,99,286.33603302805244,29.489091698103042,0,99,0,0,0
Austria,f,65,2122141.990592031,340,343.0532469120488,-3.053246912048799,-122,106.02499999999995,360.60819852398686,17.554951611938037,0,106.02499999999995,0,0,0
Austria,f,70,1985579.6886537694,526,500.0508193368419,25.949180663158074,-112.02499999999986,159.02499999999995,552.8783987828151,52.827579445973136,6,161.02499999999995,37.87792548776135,67,6
Austria,f,75,1926153.8422563393,868,778.7262629348936,89.2737370651064,-80.02499999999986,254,881.4549681593314,102.72870522443783,14,254,69.42322326211259,125,14
Austria,f,80,1362546.2691505775,1124,1020.8939242290975,103.10607577090252,-94.02499999999986,299.025,1136.2541945923397,115.36027036324226,18,299.025,189.3505976494443,337,39.975000000000136
Austria,f,85,807618.5990325002,1582,1594.1212534188353,-12.121253418835295,-261.02499999999986,223.02499999999998,1643.7802389368183,49.65898551798293,0,224.02499999999998,0,0,0
Austria,f,90,566117.6815689661,2541,2175.3454128738076,365.6545871261926,71.95000000000027,643,2541,365.6545871261926,105.97500000000014,643,492.3055136448709,829,144.97500000000014
Austria,f,All,41059507.28311996,7891,7253.005816149084,637.9941838509162,-1134.199999999999,2222.2,8097.873996769275,844.8681806201915,144.97500000000014,2225.2,815.3161941288073,1402.0249999999999,210.95000000000027
Austria,m,0,2068304.6548175039,36,35.05851581236399,0.9414841876360094,-39.024999999999864,31,38.77497365911816,3.7164578467541665,0,31,0,0,0
Austria,m,5,1974122.143047151,12,12.541821910579861,-0.5418219105798616,-24,12,14.755540769489603,2.2137188589097416,0,12,0,0,0
Austria,m,10,1967908.7069482564,11,12.30162593406266,-1.3016259340626597,-25,11,13.56403143655762,1.2624055024949596,0,11,0,0,0
Austria,m,15,2103215.4291859604,22,22.697734555834316,-0.6977345558343173,-32,22,27.07202816971295,4.374293613878632,0,22,0,0,0
Austria,m,20,2377741.913329448,30,35.37899646590735,-5.378996465907353,-44,23,36.71848883965398,1.3394923737466233,0,23,0,0,0
Austria,m,25,2808116.3398776157,33,35.96170849495785,-2.9617084949578447,-42.024999999999864,24,41.972375062660504,6.010666567702659,0,24,0,0,0
Austria,m,30,2834613.876456474,51,48.25737901181198,2.74262098818802,-43,41,56.83170479975727,8.574325787945288,0,41,0,0,0
Austria,m,35,2817264.5599177633,51,48.37180446032755,2.6281955396724435,-44,40,59.47340687422348,11.101602413895924,0,40,0,0,0
