Age,ex_combined,ex_weighted
0,81.80686489187731,80.78533467934153
1,81.05434465242612,80.1270779643643
2,80.17856336021111,79.29841157870362
3,79.19620230811799,78.32187762671127
4,78.15569184640435,77.26469207482357
5,77.10396865591461,76.19210622397343
6,76.07720579397963,75.15430245584962
7,75.07512315686922,74.1507738102508
8,74.08884200514967,73.16910286170628
9,73.10983138114184,72.19737383102829
10,72.12988215540176,71.22412197024205
11,71.14288103112172,70.24081573794183
12,70.14999064218105,69.24911757657738
13,69.15406791411661,68.25306341221697
14,68.15785629157374,67.25652784263598
15,67.16398441576726,66.26322139058207
16,66.17442573730995,65.27596805687995
17,65.18893244519597,64.29461225893357
18,64.20673804931994,63.318297647341936
19,63.22710558952987,62.34620030304779
20,62.24932701943642,61.377527659589866
21,61.27279473149151,60.41156166823212
22,60.29720948704036,59.447785589650586
23,59.32235346930571,58.48574492843603
24,58.34801719396964,57.52500250300344
25,57.3739994721965,56.56513824823137
26,56.40017972758822,55.605834475098995
27,55.426726642358645,54.64712232436955
28,54.45386936826665,53.6891120906784
29,53.4818240780521,52.73190656900042
30,52.510794012108484,51.775601074409586
31,51.54093480061237,50.82027883369663
32,50.572254655924084,49.86599768300537
33,49.60472472136341,48.912804766815725
34,48.63831439171845,47.96074125740185
35,47.67299130446972,47.00984236808694
36,46.708799360424955,46.06016295855287
37,45.74608221491079,45.11185093248008
38,44.785234469412494,44.16506579413196
39,43.82662249001632,43.21995269959434
40,42.87058473312963,42.27664254722052
41,41.91742826919763,41.335327681780896
42,40.967418207543524,40.396477934038195
43,40.0207904531425,39.460599110393
44,39.07775605595602,38.52815663328226
45,38.13850164339546,37.599576282636825
46,37.2032294351792,36.6752926973668
47,36.27227022733356,35.75588597331027
48,35.34595681554639,34.84192995731352
49,34.42458455984832,33.93394543100456
50,33.508412333809986,33.03240200440169
51,32.59764666747993,32.137659689523375
52,31.692395042990803,31.24979932611101
53,30.79272079020492,30.36881790486157
54,29.89866073945183,29.494690606044568
55,29.010225659119797,28.627371235797817
56,28.12749252230645,27.766843910718656
57,27.25086438359989,26.91326888808501
58,26.380774686605253,26.066818512166225
59,25.517595831803508,25.227626405441256
60,24.661641392400828,24.39578871863141
61,23.813135143926917,23.571291282304223
62,22.972119776549114,22.753801140101103
63,22.138565164249357,21.942902963073898
64,21.31240250025842,21.138171984997793
65,20.49352442871749,20.33917179602652
66,19.681933589339177,19.545787163543366
67,18.878159974693542,18.75916734965261
68,18.082783160377726,17.980655152638032
69,17.29628666733005,17.211458464170462
70,16.519062977724413,16.45266216036907
71,15.75157886631816,15.705193510911542
72,14.994831080627424,14.969700857251373
73,14.249843694487932,14.246721514409055
74,13.51752503541742,13.536744537132538
75,12.79868828876885,12.840226803311431
76,12.094319900711739,12.15779421013378
77,11.406304144267098,11.490788948458194
78,10.736718258040439,10.840754983263938
79,10.087685942543107,10.20933300578601
80,9.461505723918734,9.598360411754005
81,8.860163990425633,9.009519768810362
82,8.283594933953477,8.443057935196094
83,7.731744177101323,7.899318896590488
84,7.205343947357944,7.379357170897669
85,6.7061694171985,6.885190517945101
86,6.236246441027115,6.41902071229946
87,5.794460355535241,5.979908460989542
88,5.379660454744367,5.566790446426713
89,4.991807296546025,5.1795826191773395
90,4.632221418420652,4.819377961523809
91,4.303135033616267,4.487961854144341
92,4.0047054158106175,4.184966356323891
93,3.735492344068394,3.9082965046855533
94,3.4902478337806557,3.652191617709892
95,3.2532534257265775,3.4016847169564537
96,2.996931160833762,3.1326743473157905
97,2.7181692623805405,2.8449841196995496
98,2.4357333934227343,2.5592125533883245
99,2.204883318411122,2.3300684050314944
100,2.206699849786926,2.3257478591779988
