"IFRs","Cases","Result","Country"
"Modi3_Spain","Levin1",0.00552676355325469,"Germany"
"Modi1_Italy","Levin1",0.0064886161759902,"Germany"
"Modi2_Italy","Levin1",0.00640583711009505,"Germany"
"Modi3_Italy","Levin1",0.00575525818991198,"Germany"
"Modi1_France","Levin1",0.006060388617602,"Germany"
"Modi2_France","Levin1",0.00595786399573774,"Germany"
"Modi3_France","Levin1",0.00538201702069303,"Germany"
"Modi1_Sweden","Levin1",0.00695061102839185,"Germany"
"Modi2_Sweden","Levin1",0.00688700207791049,"Germany"
"Modi3_Sweden","Levin1",0.00616328851240716,"Germany"
"Modi1_China","Levin1",0.0093470349327681,"Germany"
"Modi2_China","Levin1",0.00927122703301164,"Germany"
"Modi3_China","Levin1",0.00828121236229927,"Germany"
"Modi1_Japan","Levin1",0.00536084567341443,"Germany"
"Modi2_Japan","Levin1",0.00523988802961276,"Germany"
"Modi3_Japan","Levin1",0.00476191512442394,"Germany"
"Modi1_Colombia","Levin1",0.00695960388689393,"Germany"
"Modi2_Colombia","Levin1",0.00682696206740243,"Germany"
"Modi3_Colombia","Levin1",0.00617896382832423,"Germany"
"Modi1_Brazil","Levin1",0.00692414794747759,"Germany"
"Modi2_Brazil","Levin1",0.00675590241212381,"Germany"
"Modi3_Brazil","Levin1",0.00615530892229913,"Germany"
"Modi1_USA","Levin1",0.00663352930272474,"Germany"
"Modi2_USA","Levin1",0.00650665971265347,"Germany"
"Modi3_USA","Levin1",0.00589589614981019,"Germany"
"Levin","Levin2",0.0179659566432028,"Germany"
"Verity","Levin2",0.0134967946770538,"Germany"
"Salje","Levin2",0.0115414852689363,"Germany"
"Modi1","Levin2",0.00887856401353696,"Germany"
"Modi2","Levin2",0.00879182846196576,"Germany"
"Modi3","Levin2",0.00786813335436196,"Germany"
"Levin_p25","Levin2",0.0224574458040035,"Germany"
"Levin_m25","Levin2",0.0134744674824021,"Germany"
"Verity_p25","Levin2",0.0168709933463173,"Germany"
"Verity_m25","Levin2",0.0101225960077904,"Germany"
"Salje_p25","Levin2",0.0144268565861703,"Germany"
"Salje_m25","Levin2",0.00865611395170219,"Germany"
"Verity_Germany","Levin2",0.0100635326957052,"Germany"
"Verity_Spain","Levin2",0.00932608468779083,"Germany"
"Verity_Italy","Levin2",0.00965612233162006,"Germany"
"Verity_France","Levin2",0.00912100447941456,"Germany"
"Verity_Sweden","Levin2",0.0102510514739784,"Germany"
"Verity_China","Levin2",0.0134967946770538,"Germany"
"Verity_Japan","Levin2",0.00819042713683505,"Germany"
"Verity_Colombia","Levin2",0.0104056376844238,"Germany"
"Verity_Brazil","Levin2",0.0103817193206338,"Germany"
"Verity_USA","Levin2",0.00997439337077385,"Germany"
"Salje_Germany","Levin2",0.0125662804658691,"Germany"
"Salje_Spain","Levin2",0.0120076077834602,"Germany"
"Salje_Italy","Levin2",0.0126019155454737,"Germany"
"Salje_France","Levin2",0.0115414852689363,"Germany"
"Salje_Sweden","Levin2",0.0137332826518763,"Germany"
"Salje_China","Levin2",0.0177555051501871,"Germany"
"Salje_Japan","Levin2",0.00997408824412529,"Germany"
"Salje_Colombia","Levin2",0.0128760015753379,"Germany"
"Salje_Brazil","Levin2",0.0122575584512796,"Germany"
"Salje_USA","Levin2",0.0122923328307182,"Germany"
"Modi1_Germany","Levin2",0.00917022331094726,"Germany"
"Modi2_Germany","Levin2",0.00904172982443404,"Germany"
"Modi3_Germany","Levin2",0.00813071855366438,"Germany"
"Modi1_Spain","Levin2",0.00852237577161739,"Germany"
"Modi2_Spain","Levin2",0.00842269849729828,"Germany"
"Modi3_Spain","Levin2",0.00755519980745682,"Germany"
"Modi1_Italy","Levin2",0.00887856401353696,"Germany"
"Modi2_Italy","Levin2",0.00879182846196576,"Germany"
"Modi3_Italy","Levin2",0.00786813335436196,"Germany"
"Modi1_France","Levin2",0.00828343463665431,"Germany"
"Modi2_France","Levin2",0.0081705361516088,"Germany"
"Modi3_France","Levin2",0.00734958728141995,"Germany"
"Modi1_Sweden","Levin2",0.0095068932324535,"Germany"
"Modi2_Sweden","Levin2",0.00944766548608242,"Germany"
"Modi3_Sweden","Levin2",0.00842173293000815,"Germany"
"Modi1_China","Levin2",0.0126781121836586,"Germany"
"Modi2_China","Levin2",0.0126111258589055,"Germany"
"Modi3_China","Levin2",0.0112127324237104,"Germany"
"Modi1_Japan","Levin2",0.00733684661573071,"Germany"
"Modi2_Japan","Levin2",0.00719543962782997,"Germany"
"Modi3_Japan","Levin2",0.00651284548618054,"Germany"
"Modi1_Colombia","Levin2",0.00946383527836606,"Germany"
"Modi2_Colombia","Levin2",0.0093141006472954,"Germany"
"Modi3_Colombia","Levin2",0.00838945437095279,"Germany"
"Modi1_Brazil","Levin2",0.00937833673525394,"Germany"
"Modi2_Brazil","Levin2",0.00918203793541092,"Germany"
"Modi3_Brazil","Levin2",0.00832107221168637,"Germany"
"Modi1_USA","Levin2",0.00902750246779549,"Germany"
"Modi2_USA","Levin2",0.00888509617572081,"Germany"
"Modi3_USA","Levin2",0.00801228786596505,"Germany"
"Levin","Levin3",0.00651052354310289,"Germany"
"Verity","Levin3",0.00536268648998987,"Germany"
"Salje","Levin3",0.00416836371162774,"Germany"
"Modi1","Levin3",0.00317226788251945,"Germany"
"Modi2","Levin3",0.00309551214385735,"Germany"
"Modi3","Levin3",0.00282163926734333,"Germany"
"Levin_p25","Levin3",0.00813815442887862,"Germany"
"Levin_m25","Levin3",0.00488289265732717,"Germany"
"Verity_p25","Levin3",0.00670335811248734,"Germany"
"Verity_m25","Levin3",0.0040220148674924,"Germany"
"Salje_p25","Levin3",0.00521045463953467,"Germany"
"Salje_m25","Levin3",0.0031262727837208,"Germany"
"Verity_Germany","Levin3",0.00391289970929633,"Germany"
"Verity_Spain","Levin3",0.00356228284813184,"Germany"
"Verity_Italy","Levin3",0.00368122302696321,"Germany"
"Verity_France","Levin3",0.00350981806760322,"Germany"
"Verity_Sweden","Levin3",0.00391441331969961,"Germany"
"Verity_China","Levin3",0.00536268648998987,"Germany"
"Verity_Japan","Levin3",0.0031286645232798,"Germany"
"Verity_Colombia","Levin3",0.00411355047163296,"Germany"
"Verity_Brazil","Levin3",0.00419936322272278,"Germany"
"Verity_USA","Levin3",0.00393007558433543,"Germany"
"Salje_Germany","Levin3",0.00458480041715337,"Germany"
"Salje_Spain","Levin3",0.00431183568345334,"Germany"
"Salje_Italy","Levin3",0.00451834771112962,"Germany"
"Salje_France","Levin3",0.00416836371162774,"Germany"
"Salje_Sweden","Levin3",0.00492396121057456,"Germany"
"Salje_China","Levin3",0.00657971017010053,"Germany"
"Salje_Japan","Levin3",0.00358924848375651,"Germany"
"Salje_Colombia","Levin3",0.0047587203465825,"Germany"
"Salje_Brazil","Levin3",0.00463197107538581,"Germany"
"Salje_USA","Levin3",0.00453198384895961,"Germany"
"Modi1_Germany","Levin3",0.00332840768054054,"Germany"
"Modi2_Germany","Levin3",0.00323204639004233,"Germany"
"Modi3_Germany","Levin3",0.00296691577457205,"Germany"
"Modi1_Spain","Levin3",0.00304674971089382,"Germany"
"Modi2_Spain","Levin3",0.00296546061796437,"Germany"
"Modi3_Spain","Levin3",0.00271048640145668,"Germany"
"Modi1_Italy","Levin3",0.00317226788251945,"Germany"
"Modi2_Italy","Levin3",0.00309551214385735,"Germany"
"Modi3_Italy","Levin3",0.00282163926734333,"Germany"
"Modi1_France","Levin3",0.00297519013248368,"Germany"
"Modi2_France","Levin3",0.00288756572745537,"Germany"
"Modi3_France","Levin3",0.00264968238523331,"Germany"
"Modi1_Sweden","Levin3",0.0034030217514251,"Germany"
"Modi2_Sweden","Levin3",0.00333382618135015,"Germany"
"Modi3_Sweden","Levin3",0.00302711169546869,"Germany"
"Modi1_China","Levin3",0.00471263945613402,"Germany"
"Modi2_China","Levin3",0.00462476817648827,"Germany"
"Modi3_China","Levin3",0.00419966360966598,"Germany"
"Modi1_Japan","Levin3",0.00261917175882874,"Germany"
"Modi2_Japan","Levin3",0.00252720588147136,"Germany"
"Modi3_Japan","Levin3",0.0023311630933514,"Germany"
"Modi1_Colombia","Levin3",0.00347931546914993,"Germany"
"Modi2_Colombia","Levin3",0.00337047502491504,"Germany"
"Modi3_Colombia","Levin3",0.00310443324914929,"Germany"
"Modi1_Brazil","Levin3",0.00351036196904925,"Germany"
"Modi2_Brazil","Levin3",0.00338092759413817,"Germany"
"Modi3_Brazil","Levin3",0.00313999940307548,"Germany"
"Modi1_USA","Levin3",0.003307509524962,"Germany"
"Modi2_USA","Levin3",0.0032023627923811,"Germany"
"Modi3_USA","Levin3",0.00295324500709177,"Germany"
"Levin","PrItaly",0.0184395372107283,"Germany"
"Verity","PrItaly",0.014017172177986,"Germany"
"Salje","PrItaly",0.0118416382104173,"Germany"
"Modi1","PrItaly",0.00910871438357508,"Germany"
"Modi2","PrItaly",0.00901367711392257,"Germany"
